,company,location,position,experience,Experience_min,Experience_max,skill_1,skill_2,skill_3,skill_4,skill_5,skill_6,skill_7,skill_8,skill_9,skill_10,skill_11,skill_12,skill_13,skill_14,skill_15,skill_16,skill_17,skill_18,skill_19,skill_20,skill_21,skill_22,skill_23,skill_24,skill_25,skill_26,skill_27,skill_28
125,Pattem Digital Technologies,"Noida/Greater Noida,  Bengaluru / Bangalore",Python Developer,2 - 7,2,7,security compliance  ,  python  ,  html5  ,  mobile  ,  svn  ,  storage  ,  javascript  ,  security  ,  database  ,  django  ,  git  ,  web developer  ,  debugging,,,,,,,,,,,,,,,
126,Comake IT software Pvt Ltd,Hyderabad/Secunderabad,Python Developer,3 - 6,3,6,python  ,  tornado  ,  rest api  ,  docker  ,  sql  ,  django  ,  git  ,  postgresql  ,  linux  ,  json  ,  mysql  ,,,,,,,,,,,,,,,,,
127,CoreStack,Chennai,Python Developer,2 - 4,2,4,artificial intelligence  ,  security  ,  cloud computing  ,  python  ,  nextgen  ,  microsoft azure  ,  machine learning  ,  nist,,,,,,,,,,,,,,,,,,,,
128,APPLYCUP HIRING SOLUTIONS LLP,Noida/Greater Noida,Python Developer,1 - 3,1,3,algorithms  ,  python  ,  css  ,  javascript  ,  jquery  ,  web programming  ,  django  ,  zope  ,  oops  ,  web development  ,  html  ,  data structures,,,,,,,,,,,,,,,,
129,APPLYCUP HIRING SOLUTIONS LLP,Bengaluru / Bangalore,Python Developer,4 - 6,4,6,security compliance  ,  python  ,  html5  ,  mobile  ,  storage  ,  javascript  ,  security  ,  database  ,  web developer  ,  debugging,,,,,,,,,,,,,,,,,,
130,APPLYCUP HIRING SOLUTIONS LLP,Pune,Python Analyst,7 - 9,7,9,websphere  ,  c    ,  socket programming  ,  sql  ,  apache  ,  xml  ,  linux  ,  json  ,  debugging  ,  python  ,  tornado  ,  c  ,  problem solving  ,  django,,,,,,,,,,,,,,
131,APPLYCUP HIRING SOLUTIONS LLP,Indore,Lead-Python,8 - 10,8,1,oop  ,  database  ,  git  ,  debugging  ,  data structures  ,  api  ,  mvc  ,  technical skills  ,  mongodb  ,  python  ,  nosql  ,  django  ,  gateway,,,,,,,,,,,,,,,
132,Minivet System,Kolkata,Python Developer,1 - 4,1,4,python  ,  nosql  ,  django  ,  postgresql  ,  multithreading  ,  mysql  ,  technical skills  ,  mongodb  ,  couchdb  ,  middleware,,,,,,,,,,,,,,,,,,
133,Sara Technologies,,Python Developer,2 - 5,2,5,algorithms  ,  python  ,  cache  ,  css  ,  mobile  ,  storage  ,  javascript  ,  jquery  ,  security  ,  django  ,  html  ,  middleware,,,,,,,,,,,,,,,,
134,APPLYCUP HIRING SOLUTIONS LLP,Hyderabad/Secunderabad,Python Developer,2 - 5,2,5,rest  ,  python  ,  cloud services  ,  django  ,  xml  ,  brio  ,  json  ,  web development  ,  mysql  ,  soap,,,,,,,,,,,,,,,,,,
135,APPLYCUP HIRING SOLUTIONS LLP,Pune,Python Developer,3 - 5,3,5,python  ,  svn  ,  team player  ,  database  ,  django  ,  git  ,  infrastructure  ,  linux  ,  debugging  ,  hadoop,,,,,,,,,,,,,,,,,,
136,JobsLo Consultants,Bengaluru / Bangalore,Python Developer,2 - 5,2,5,security compliance  ,  python  ,  html5  ,  mobile  ,  svn  ,  storage  ,  javascript  ,  security  ,  database  ,  django  ,  git  ,  debugging,,,,,,,,,,,,,,,,
137,APPLYCUP HIRING SOLUTIONS LLP,Indore,Python Developer,1 - 3,1,3,python  ,  css  ,  html5  ,  javascript  ,  database  ,  django  ,  protocol testing  ,  postgresql  ,  system development  ,  html  ,  mysql  ,  api  ,  mongodb,,,,,,,,,,,,,,,
138,kpmg,Bengaluru / Bangalore,Consultant - Python,0 - 3,0,3,docker  ,  database  ,  software engineer  ,  teamcity  ,  python  ,  django  ,  consultant,,,,,,,,,,,,,,,,,,,,,
139,Infosys Technologies Ltd,,Python Developer,2 - 5,2,5,information technology  ,  technology analyst  ,  hibernate  ,  spring  ,  java  ,  project life cycle  ,  object oriented programming  ,  global delivery  ,  python  ,  production support  ,  j2ee technologies,,,,,,,,,,,,,,,,,
140,smartSense Consulting Solutions,Gandhinagar,Python Developer,1 - 4,1,4,rest  ,  python  ,  javascript  ,  nosql  ,  database  ,  django  ,  git  ,  postgresql  ,  software engineering  ,  mysql  ,  shell scripting  ,  unix  /  linux  ,  mongodb  ,  middleware,,,,,,,,,,,,,,
141,GDB Technologies pvt. Ltd. Pune,Pune,Python Developers,3 - 7,3,7,rest  ,  python  ,  c    ,  tornado  ,  c  ,  machine learning  ,  javascript  ,  nosql  ,  docker  ,  django  ,  git  ,  java  ,  postgresql  ,  web technologies  ,  mysql  ,  big data  ,  mongodb,,,,,,,,,,,
142,QuEST Global Engineering Pvt Ltd,Bengaluru / Bangalore,Python Developer,5 - 8,5,8,docker  ,  debugging  ,  api  ,  python  ,  cloud services  ,  tornado  ,  problem solving  ,  django  ,  entry level  ,  sql database,,,,,,,,,,,,,,,,,,
143,Excel Ptp,Ahmedabad,Python Trainer,1 - 4,1,4,jquery  ,  sql  ,  git  ,  oops  ,  json  ,  mysql  ,  object oriented programming  ,  mongodb  ,  middleware  ,  rest  ,  python  ,  svn  ,  machine learning  ,  django,,,,,,,,,,,,,,
144,sacumen,Bengaluru / Bangalore,Python Lead,6 - 8,6,8,html5  ,  sql  ,  docker  ,  elastic search  ,  security  ,  database  ,  git  ,  devops  ,  linux  ,  debugging  ,  rest  ,  python  ,  github  ,  os  ,  machine learning  ,  javascript  ,  django,,,,,,,,,,,
145,sacumen,Bengaluru / Bangalore,Python Developer,6 - 8,6,8,html5  ,  sql  ,  docker  ,  elastic search  ,  security  ,  database  ,  git  ,  devops  ,  linux  ,  debugging  ,  rest  ,  python  ,  github  ,  os  ,  machine learning  ,  javascript  ,  django,,,,,,,,,,,
146,Virtualware Innovations,Hyderabad/Secunderabad,Python Developer,0 - 3,0,3,arcgis  ,  docker  ,  sql  ,  database  ,  java  ,  git  ,  postgresql  ,  devops  ,  linux  ,  software engineering  ,  rest  ,  python  ,  svn  ,  nosql  ,  django  ,  management systems,,,,,,,,,,,,
147,Inlogic Technologies Pvt Ltd,Chennai,Python Developer,1 - 4,1,4,hive  ,  algorithms  ,  bi  ,  sharepoint  ,  pig  ,  database management  ,  database  ,  postgresql  ,  mysql  ,  hadoop  ,  big data  ,  mongodb  ,  crm  ,  python  ,  sas  ,  javascript  ,  cassandra  ,  infrastructure,,,,,,,,,,
148,infoanalytica consulting pvt ltd,Ahmedabad,Python Programmers,3 - 5,3,5,fundamentals  ,  python  ,  data mining  ,  machine learning  ,  javascript  ,  sql  ,  business objects  ,  xml  ,  mysql  ,  software engineer  ,  object oriented programming,,,,,,,,,,,,,,,,,
149,APPLYCUP HIRING SOLUTIONS LLP,Pune,Python Analyst,7 - 10,7,1,websphere  ,  css  ,  socket programming  ,  sql  ,  apache  ,  xml  ,  linux  ,  json  ,  debugging  ,  html  ,  python  ,  tornado  ,  problem solving  ,  javascript  ,  django,,,,,,,,,,,,,
150,mycityahmedabad,Ahmedabad,Programming Head,5 - 7,5,7,Digital content  ,   conceptualization  ,   Programming,,,,,,,,,,,,,,,,,,,,,,,,,
151,sensovision systems pvt ltd,Bengaluru / Bangalore,PLC Programming,0 - 3,0,3,c   programming  ,  machine learning  ,  unix,,,,,,,,,,,,,,,,,,,,,,,,,
152,APPLYCUP HIRING SOLUTIONS LLP,Chennai,Programming Engineer,4 - 7,4,7,hmi  ,  vfd  ,  mechatronics  ,  plc  ,  robotics  ,  scada,,,,,,,,,,,,,,,,,,,,,,
153,"Laqshya Infosoft Solutions
     (More Jobs)",(More Jobs),Programming Faculty,1 - 6,1,6,java  ,  python  ,  dotnet  ,  javascript,,,,,,,,,,,,,,,,,,,,,,,,
154,QuEST Global Engineering Pvt Ltd,,Fanuc Robot Programming,5 - 8,5,8,innovation  ,  production  ,  robotics  ,  robot programming  ,  aerospace,,,,,,,,,,,,,,,,,,,,,,,
155,Armaco Chemical Processes Systems Pvt Ltd,Jeddah,Linear Programming Modeling Engineer,4 - 6,4,6,c  ,  operating system  ,  linear programming  ,  product delivery  ,  infrastructure,,,,,,,,,,,,,,,,,,,,,,,
156,ICON PLC,Philadelphia,"Senior Manager ,  Statistical Programming",10 - 13,1, ,regulatory requirements  ,  ich  ,  gcp  ,  clinical  ,  clinical research  ,  statistical programming,,,,,,,,,,,,,,,,,,,,,,
157,Jacobs Engineering Group Inc.,,Programming Specialist- Intermediate,12 - 15,1, ,automation framework  ,  information technology  ,  test scripts  ,  usability testing  ,  security  ,  ui  ,  testing tools  ,  business applications  ,  automation testing  ,  metrics  ,  agile,,,,,,,,,,,,,,,,,
158,BOEING,Bengaluru / Bangalore,Programmer Analyst  ( Programming / Analysis ),8 - 12,8,1,continuous integration  ,  xml  ,  jira  ,  alm  ,  automation testing  ,  testing  ,  software test  ,  stlc  ,  individual contributor  ,  agile  ,  metrics  ,  test case preparation  ,  test execution  ,  test data  ,  security  ,  sap functional  ,  test strategy  ,  test planning  ,  uat  ,  written communication  ,  quality testing,,,,,,,
159,QuEST Global Engineering Pvt Ltd,Bengaluru / Bangalore,CAN and Serial programming,5 - 8,5,8,uart  ,  i2c  ,  Information Systems  ,   Computer Science  ,   Computer Engineering  ,  Software Engineering,,,,,,,,,,,,,,,,,,,,,,
160,AstraZeneca Ltd,Bengaluru / Bangalore,Associate Director Statistical Programming,0 - 3,0,3,python  ,  biometrics  ,  written communication,,,,,,,,,,,,,,,,,,,,,,,,,
161,JobsLo Consultants,Kanpur,Technical Architect  .net Programming,10 - 13,1, ,asp.net  ,  web api  ,  mysql  ,  c#  ,  oracle  ,  messaging  ,  linq  ,  .net  ,  soap  ,  it architecture  ,  microsoft technologies  ,  software design  ,  ado.net  ,  database  ,  security  ,  software designer  ,  uml  ,  json  ,  mvc  ,  rest  ,  rdbms  ,  entity framework  ,  infrastructure  ,  leadership skills  ,  forms,,,
162,NCC Telecom Pvt. Ltd.,"Mumbai,  Pune",installation  &  programming associate,1 - 3,1,3,technical support  ,  installation  ,  modem  ,  hardware,,,,,,,,,,,,,,,,,,,,,,,,
163,expertiz,Coimbatore,Programming Head-Radio,7 - 10,7,1,channel promos  ,   program bumpers  ,  production,,,,,,,,,,,,,,,,,,,,,,,,,
164,APPLYCUP HIRING SOLUTIONS LLP,Chennai,Computer Programming Teachers,1 - 5,1,5,teacher  ,  english  ,  teaching,,,,,,,,,,,,,,,,,,,,,,,,,
165,QuEST Global Engineering Pvt Ltd,,"Lead Engineer ,  CMM Programming",3 - 5,3,5,cad  /   cam  ,  production  ,  nx  ,  manufacturing  ,  documentation  ,  manufacturing engineering  ,  aerospace,,,,,,,,,,,,,,,,,,,,,
166,TERADATA INDIA PVT LTD,"Mumbai,  Pune",Automation Consultant  ( Python Programming ),0 - 3,0,3,orchestration  ,  data warehousing  ,  file system  ,  sql  ,  database  ,  python scripting  ,  devops  ,  hadoop  ,  big data  ,  python  ,  github  ,  consultant,,,,,,,,,,,,,,,,
167,"CANVAS27.com
     (More Jobs)",(More Jobs),Opening For PLC Software Programming,3 - 8,3,8,Abb  ,  Honeywell  ,  Automation  ,  Schneider  ,  PLC  ,  Siemens  ,  PLCS  ,  Panel Designing  ,  Control Panel  ,  SCADA,,,,,,,,,,,,,,,,,,
168,ephicacy lifescience analytics pvt ltd,Bengaluru / Bangalore,Tech Lead  Biostatistics  &  Programming,7 - 10,7,1,biostatistics  ,  sas programming  ,  clinical  ,  ich-gcp  ,  clinical trials  ,  sdtm,,,,,,,,,,,,,,,,,,,,,,
169,ceredox technologies,,Software Engineer  ( C /  Network Programming ),6 - 9,6,9,algorithms  ,  c    ,  security  ,  git  ,  java  ,  network programming  ,  linux  ,  software engineer  ,  python  ,  c  ,  os  ,  team player  ,  windows,,,,,,,,,,,,,,,
170,ANVITA TOURS2HEALTH PVT. LTD.,Cochin/ Kochi/ Ernakulam,Team Lead Programming /  Web Developer,1 - 4,1,4,html5  ,  bootstrap  ,  ajax  ,  jquery  ,  git  ,  web developer  ,  opencart  ,  yii  ,  json  ,  mysql  ,  web development  ,  api  ,  rest  ,  san  ,  mvc architecture  ,  javascript  ,  node.js  ,  php  ,  angularjs  ,  soap,,,,,,,,
171,ANVITA OMNINEKTO INDIA PRIVATE LIMITED,Bengaluru / Bangalore,Team Lead Programming /  Web Developer,1 - 4,1,4,html5  ,  bootstrap  ,  ajax  ,  jquery  ,  git  ,  web developer  ,  opencart  ,  yii  ,  json  ,  mysql  ,  web development  ,  api  ,  rest  ,  san  ,  mvc architecture  ,  javascript  ,  node.js  ,  php  ,  angularjs  ,  soap,,,,,,,,
172,Naaptol Online Shopping Pvt Ltd,"Navi Mumbai,  Mumbai",Content Writer  /  Copywriter Department: Programming,0 - 3,0,3,website  ,  campaigns  ,  digital campaigns  ,   strategy sheets,,,,,,,,,,,,,,,,,,,,,,,,
173,v support solutions,Coimbatore,PLC Programming ( Electrical Automation Engineer ),1 - 3,1,3,bom  ,  hmi  ,  delta  ,  motors  ,  motion control  ,  sop  ,  manufacturing  ,  mechanical design engineer  ,  ac  ,  troubleshooting skills  ,  plc programmer  ,  plc  ,  documentation  ,  control panel  ,  sensors  ,  automation engineer  ,  siemens  ,  manufacturing process  ,  omron  ,  allen bradley,,,,,,,,
174,opentext corporation,Hyderabad/Secunderabad,Lead Software Engineer_C   Developer   Socket Programming,8 - 11,8,1,c    ,  socket programming  ,  software design  ,  windbg  ,  jee  ,  security  ,  java  ,  debugging  ,  software engineer  ,  sockets  ,  middleware  ,  information management  ,  windows os  ,  infrastructure  ,  .net,,,,,,,,,,,,,
175,cdl it pvt ltd,Vadodara,POSITION IT Software Application programming  &  Maintenance,3 - 6,3,6,python  ,  jasper  ,  spring  ,  database  ,  java  ,  leadership skills  ,  debugging  ,  object oriented programming  ,  angularjs,,,,,,,,,,,,,,,,,,,
176,zf india pvt ltd,Coimbatore,Data Scientist  /  Data Analyst  ( Python Programming ),5 - 8,5,8,bi  ,  sql  ,  database  ,  python  ,  machine learning,,,,,,,,,,,,,,,,,,,,,,,
177,JobsLo Consultants,Bengaluru / Bangalore,MEAN Stack Developer  ES6 / Functional Programming,2 - 5,2,5,node.js  ,  css  ,  html  ,  ajax  ,  javascript,,,,,,,,,,,,,,,,,,,,,,,
178,CAREERXPERTS CONSULTING,Bengaluru / Bangalore,Functional Programming  Rocket fuel for your growth as a programmer,5 - 8,5,8,com  ,  python  ,  scala  ,  erlang  ,  team player  ,  technology  ,  storage  ,  nosql  ,  ruby  ,  java  ,  cassandra  ,  openstack  ,  hadoop  ,  unix  /  linux  ,  mongodb  ,  hbase,,,,,,,,,,,,
179,Aequs,Belgaum,Engineer  /  Lead Engineer - C.N.C Programming,6 - 8,6,8,cad  /  cam  ,  production  ,  vericut  ,  cam  ,  catia  ,  cnc  ,  aerospace,,,,,,,,,,,,,,,,,,,,,
180,CAREERXPERTS CONSULTING,Bengaluru / Bangalore,Java Internals  Hard Core Systems Programming,4 - 20,4,2,algorithms  ,  software design  ,  it  ,  nosql  ,  java  ,  cassandra  ,  data structures  ,  hbase,,,,,,,,,,,,,,,,,,,,
181,wsne consulting,Delhi,SAP Advanced Business Application Programming  ( ABAP ),0 - 3,0,3,technical leader  ,  debugger  ,  sql  ,  database  ,  oops  ,  abap,,,,,,,,,,,,,,,,,,,,,,
182,APPLYCUP HIRING SOLUTIONS LLP,"Gurgaon,  Delhi,  Delhi/NCR",iOS Developer - Objective C / swift Programming,1 - 5,1,5,c  ,  ios developer  ,  storage  ,  ios  ,  objective c  ,  web technologies  ,  cocoa touch  ,  swift,,,,,,,,,,,,,,,,,,,,
183,Jobmirror Consultancy,Gurgaon,Flash AS3 Programming - E-Learning,4 - 8,4,8,database  ,  xml  ,  oops  ,  php  ,  flash media server  ,  html,,,,,,,,,,,,,,,,,,,,,,
184,"HR Jobs Placements
     (More Jobs)",(More Jobs),"Senior Application Programmer , application programming",5 - 10,5,1,designing  ,  coding  ,  testing  ,  debugging  ,  Application Development  ,  Web Application  ,  Web Based Applications  ,  Software Development  ,  developer  ,  programmer,,,,,,,,,,,,,,,,,,
185,zscaler softech pvt ltd,Bengaluru / Bangalore,Software Engineer - C | Linux / Unix | DS |Socket Programming | Algos,10 - 13,1, ,fundamentals  ,  algorithms  ,  socket programming  ,  software design  ,  freebsd  ,  ds  ,  security  ,  linux  ,  debugging  ,  software engineer  ,  data structures  ,  perl  ,  python  ,  c  ,  unix  ,  gateway,,,,,,,,,,,,
186,Nous Info Systems,Bengaluru / Bangalore,"Senior Engineer  /  Technical Lead - UFT / QTP ,  Descriptive Programming ,  VB Scripting",4 - 8,4,8,automation testing  ,  testing  ,  test cases  ,  qtp  ,  vb  ,  qa  ,  descriptive programming  ,  qtp  /  uft  ,  vb script,,,,,,,,,,,,,,,,,,,
187,Executives Network,Lucknow,Java  /  J2ee Sse / tl  ( software / application Programming ),3 - 7,3,7,spring  ,  java  ,  jsp  ,  struts  ,  j2ee  ,  team player  ,  hibernate,,,,,,,,,,,,,,,,,,,,,
188,AstraZeneca Ltd,Bengaluru / Bangalore,"Associate Director Programming - Team leader ,  Early Biometrics  &  Statistical Innovation",0 - 3,0,3,python  ,  sas  ,  biometrics  ,  Information Systems  ,   Computer Science  ,   Computer Engineering  ,  Software Engineering,,,,,,,,,,,,,,,,,,,,,
189,HARMAN INTERNATIONAL,"Pune,  Bengaluru / Bangalore",Senior Engineer I SW - Linux System Programming in C,7 - 10,7,1,system software  ,  memory management  ,  git  ,  linux  ,  perforce  ,  c  ,  linux kernel  ,  system architecture,,,,,,,,,,,,,,,,,,,,
190,HARMAN INTERNATIONAL,"Pune,  Bengaluru / Bangalore",Principal Engineer II SW - Linux System Programming in C,10 - 13,1, ,system software  ,  memory management  ,  security  ,  git  ,  linux  ,  perforce  ,  linux kernel internals  ,  system architecture,,,,,,,,,,,,,,,,,,,,
191,"CANVAS27.com Consultant
     (More Jobs)",(More Jobs),"Programming Tutor  ( C ,  c ++ ,  Java ,  Python ,  Magento )  Required",3 - 8,3,8,c ++  ,  C  ,  computer process training manager  ,  computer process trainer  ,  computer trainer  ,  java  ,  computer teacher  ,  programming trainer  ,  computer faculty  ,  programming  ,  Python,,,,,,,,,,,,,,,,,
192,Logilite Technologies,Ahmedabad,Engineer,0 - 3,0,3,algorithms  ,  object oriented programming  ,  oriented programming,,,,,,,,,,,,,,,,,,,,,,,,,
193,sensovision systems pvt ltd,Bengaluru / Bangalore,Machine Vision Application Engineer,0 - 3,0,3,c   programming  ,  machine vision,,,,,,,,,,,,,,,,,,,,,,,,,,
194,Morgan Stanley Pvt Ltd,New York City,"Mortgage Modeler ,  Vice President / Executive Director",0 - 3,0,3,python  ,  sas  ,  c   programming,,,,,,,,,,,,,,,,,,,,,,,,,
195,Cashfree,Bengaluru / Bangalore,Software Architect,14 - 17,1, ,java  ,  api  ,  programming language,,,,,,,,,,,,,,,,,,,,,,,,,
196,Sumo Digital Ltd,,Senior Gameplay Programmer,2 - 3,2,3,rest  ,  c   programming  ,  games,,,,,,,,,,,,,,,,,,,,,,,,,
197,Variable Soft,Jaipur,.net MVC Developer,1 - 5,1,5,.net  ,  mvc  ,  programming languages,,,,,,,,,,,,,,,,,,,,,,,,,
198,Sumo Digital Ltd,Pune,Senior Graphics Programmer,0 - 3,0,3,c   programming  ,  graphics  ,  games,,,,,,,,,,,,,,,,,,,,,,,,,
199,BitLogic Infoway,Rajkot,PHP Team Leaders,3 - 6,3,6,php  ,  mysql  ,  web programming,,,,,,,,,,,,,,,,,,,,,,,,,
200,workXmate Technologies,Noida/Greater Noida,Associate Software Engineer,0 - 3,0,3,testing  ,  sdlc  ,  java programming,,,,,,,,,,,,,,,,,,,,,,,,,
201,Red Symbol Technologies Pvt. Ltd.,Jaipur,Sr. PHP Programmer,2 - 4,2,4,php  ,  mysql  ,  Strong programming,,,,,,,,,,,,,,,,,,,,,,,,,
202,Sumo Digital Ltd,"Pune,  Bengaluru / Bangalore",Senior Graphics Programmer,0 - 3,0,3,c   programming  ,  graphics  ,  games,,,,,,,,,,,,,,,,,,,,,,,,,
203,Sumo Digital Ltd,,Gameplay Programmer,0 - 3,0,3,rest  ,  c   programming  ,  games,,,,,,,,,,,,,,,,,,,,,,,,,
204,Sumo Digital Ltd,,"Engine Programmer Red Kite Games ,  Leeds  /  Red Kite Games  Code",0 - 3,0,3,rest  ,  c   programming  ,  games,,,,,,,,,,,,,,,,,,,,,,,,,
205,Sumo Digital Ltd,,Network Programmer Red Kite,2 - 3,2,3,games  ,  rest  ,  c   programming,,,,,,,,,,,,,,,,,,,,,,,,,
206,heaven techno system private limited,Bhopal,Designation:- Security Expert,3 - 6,3,6,security  ,  mvc  ,  sql programming,,,,,,,,,,,,,,,,,,,,,,,,,
207,Morgan Stanley Pvt Ltd,,"Mortgage Modeler ,  Vice President / Executive Director",0 - 3,0,3,python  ,  sas  ,  c   programming,,,,,,,,,,,,,,,,,,,,,,,,,
208,L and T Technology Services,Bengaluru / Bangalore,Avionics SW developer,4 - 7,4,7,writing  ,  testing  ,  c programming,,,,,,,,,,,,,,,,,,,,,,,,,
209,"Sahyog Jobs Consultancy
     (More Jobs)",(More Jobs),PLC Engineer,5 - 10,5,1,Plc Programming  ,  plc,,,,,,,,,,,,,,,,,,,,,,,,,,
210,"High Rise Management Services Pvt. Ltd.
     (More Jobs)",(More Jobs),Fresher BCA  /  MCA Job as Technical Support in Big IT Co,0 - 3,0,3,bca  ,  mca  ,  be it  ,  Computer Programming,,,,,,,,,,,,,,,,,,,,,,,,
211,"Neeraj Recruiters
     (More Jobs)",(More Jobs),"Production Manager , Manager Purchase , Assistant Manager",2 - 7,2,7,Management  ,  Microsoft Technologies  ,  Programming,,,,,,,,,,,,,,,,,,,,,,,,,
212,Advanced Micronic Devices Ltd,Bengaluru / Bangalore,MTS Silicon Design Engineer,0 - 3,0,3,python  ,  simulator  ,  c   programming  ,  vhdl  ,  artificial intelligence  ,  assembly language programming,,,,,,,,,,,,,,,,,,,,,,
213,east india securities ltd.,Kolkata,Lead Software Development Engineer - Core Systems,0 - 3,0,3,c    ,  computer programming  ,  information technology  ,  linux  ,  object oriented programming,,,,,,,,,,,,,,,,,,,,,,,
214,logicplanet it services pvt ltd,"Chennai,  Bengaluru / Bangalore",Cloud engineer,2 - 5,2,5,python  ,  database programming  ,  scala  ,  data warehousing  ,  hadoop  ,  sql programming,,,,,,,,,,,,,,,,,,,,,,
215,ESN TECHNOLOGIES,Hyderabad/Secunderabad,Senior Software Engineer  ( .net full stack developer ),7 - 10,7,1,devops  ,  web api  ,  mvc  ,  c# programming  ,  javascript  ,  .net  ,  sql programming,,,,,,,,,,,,,,,,,,,,,
216,Sumo Digital Ltd,,Principal Graphics Programmer,2 - 12,2,1,game production process  ,    C   programming skills  ,   Strong 3D programming,,,,,,,,,,,,,,,,,,,,,,,,,
217,Sumo Digital Ltd,,Senior Environment Artist,2 - 6,2,6,game production process  ,    C   programming skills  ,   Strong 3D programming,,,,,,,,,,,,,,,,,,,,,,,,,
218,Sumo Digital Ltd,,Lead Environment Artist,1 - 10,1,1,game production process  ,    C   programming skills  ,   Strong 3D programming,,,,,,,,,,,,,,,,,,,,,,,,,
219,Sumo Digital Ltd,,Lead Lighting Artist,2 - 11,2,1,game production process  ,    C   programming skills  ,   Strong 3D programming,,,,,,,,,,,,,,,,,,,,,,,,,
220,Sumo Digital Ltd,,Studio Art Director,1 - 9,1,9,game production process  ,    C   programming skills  ,   Strong 3D programming,,,,,,,,,,,,,,,,,,,,,,,,,
221,Sumo Digital Ltd,,Lead Sound Designer,2 - 10,2,1,game production process  ,    C   programming skills  ,   Strong 3D programming,,,,,,,,,,,,,,,,,,,,,,,,,
222,Sumo Digital Ltd,,Programmer Sumo,2 - 5,2,5,game production process  ,    C   programming skills  ,   Strong 3D programming,,,,,,,,,,,,,,,,,,,,,,,,,
223,APPLYCUP HIRING SOLUTIONS LLP,Bengaluru / Bangalore,Senior SW Dev Engineer - Network,4 - 8,4,8,c    ,  python  ,  c  ,  linux programming  ,  c   programming  ,  problem solving,,,,,,,,,,,,,,,,,,,,,,
224,APPLYCUP HIRING SOLUTIONS LLP,Bengaluru / Bangalore,Software Dev Manager - EX,11 - 14,1, ,python  ,  c  ,  linux programming  ,  c   programming  ,  problem solving  ,  java,,,,,,,,,,,,,,,,,,,,,,
225,APPLYCUP HIRING SOLUTIONS LLP,Bengaluru / Bangalore,Staff SW Dev Engineer - Java  &  Linux,8 - 10,8,1,python  ,  linux programming  ,  problem solving  ,  java  ,  postgresql  ,  linux  ,  java programming,,,,,,,,,,,,,,,,,,,,,
226,HARMAN INTERNATIONAL,Bengaluru / Bangalore,Lead-Product Development,4 - 7,4,7,java  ,  system programming  ,  linux  ,  debugging  ,  telecom  ,  protocol development  ,  java programming,,,,,,,,,,,,,,,,,,,,,
227,HARMAN INTERNATIONAL,Pune,Lead-Product Development,4 - 7,4,7,system programming  ,  written communication  ,  linux  ,  debugging  ,  java programming,,,,,,,,,,,,,,,,,,,,,,,
228,Wafer Space,Bengaluru / Bangalore,Embedded Linux Kernel Developer,0 - 3,0,3,memory management  ,  c  ,  c   programming  ,  kernel  ,  linux kernel programming  ,  linux,,,,,,,,,,,,,,,,,,,,,,
229,HARMAN INTERNATIONAL,Gurgaon,Lead-Product Development,4 - 7,4,7,c    ,  system programming  ,  written communication  ,  linux  ,  debugging  ,  java programming,,,,,,,,,,,,,,,,,,,,,,
230,evertz,Bengaluru / Bangalore,Software Developer,6 - 9,6,9,iptv  ,  ffmpeg  ,  satellite  ,  c  ,  linux programming  ,  c   programming  ,  team player,,,,,,,,,,,,,,,,,,,,,
231,evertz,Bengaluru / Bangalore,Software Design Engineer,6 - 9,6,9,iptv  ,  ffmpeg  ,  satellite  ,  c  ,  linux programming  ,  c   programming  ,  team player,,,,,,,,,,,,,,,,,,,,,
232,evertz,,"Software Design Engineer ,  Compression",6 - 9,6,9,iptv  ,  ffmpeg  ,  satellite  ,  c  ,  linux programming  ,  c   programming  ,  team player,,,,,,,,,,,,,,,,,,,,,
233,evertz,Canada,Software Design Engineer,2 - 5,2,5,usb  ,  iptv  ,  satellite  ,  c  ,  linux programming  ,  c   programming  ,  team player,,,,,,,,,,,,,,,,,,,,,
234,SonicWall Inc.,Bengaluru / Bangalore,Software Dev Staff Engineer,3 - 6,3,6,mobile  ,  data structures  ,  c programming,,,,,,,,,,,,,,,,,,,,,,,,,
235,testingxperts,"Hyderabad/Secunderabad,  Noida/Greater Noida,  Chandigarh",API Tester  Automation,0 - 3,0,3,database  ,  java  ,  c# programming  ,  api,,,,,,,,,,,,,,,,,,,,,,,,
236,webguruz technologies,Mohali,Php Developer | Php Expert,0 - 3,0,3,php developer  ,  php  ,  web programming,,,,,,,,,,,,,,,,,,,,,,,,,
237,Alstom Projects India Ltd.,Sweden,Hardware Engineer,3 - 6,3,6,vhdl  ,  python  ,  infrastructure  ,  c programming,,,,,,,,,,,,,,,,,,,,,,,,
238,QuEST Global Engineering Pvt Ltd,Bengaluru / Bangalore,Embedded SW Engineer- Automotive,7 - 10,7,1,entry level  ,  debugging  ,  c programming,,,,,,,,,,,,,,,,,,,,,,,,,
243,ATCS,Mumbai,Senior BI Lead,7 - 10,7,1,bi  ,  etl  ,  ssis  ,  sql programming,,,,,,,,,,,,,,,,,,,,,,,,
244,ATCS,Navi Mumbai,BI Lead,5 - 7,5,7,bi  ,  etl  ,  ssis  ,  sql programming,,,,,,,,,,,,,,,,,,,,,,,,
246,phillips corporation,,Machine Tool Applications Engineer,0 - 3,0,3,license  ,  cnc  ,  action  ,  cnc programming,,,,,,,,,,,,,,,,,,,,,,,,
