,company,location,position,experience,Experience_min,Experience_max,skill_1,skill_2,skill_3,skill_4,skill_5,skill_6,skill_7,skill_8,skill_9,skill_10,skill_11,skill_12,skill_13,skill_14,skill_15,skill_16,skill_17,skill_18,skill_19,skill_20,skill_21,skill_22,skill_23,skill_24,skill_25,skill_26,skill_27,skill_28
33,INFINITY GROUP,Noida/Greater Noida,PYTHON Developer,2 - 5,2,5,python  ,  css  ,  django  ,  html  ,  bootstrap,,,,,,,,,,,,,,,,,,,,,,,
34,Hughes Systique India Pvt Ltd,"Gurgaon,  Bengaluru / Bangalore",Python Developer,3 - 5,3,5,rest  ,  python  ,  django  ,  iam  ,  multithreading  ,  shell scripting  ,  docker,,,,,,,,,,,,,,,,,,,,,
35,"LARSEN & TOUBRO INFOTECH LIMITED
     (More Jobs)",(More Jobs),Java + Python,8 - 12,8,1,Java  ,  Python  ,  Spring  ,  Hibernate  ,  REST APIs,,,,,,,,,,,,,,,,,,,,,,,
36,Saraca Solutions Pvt ltd,,Python Developer,0 - 3,0,3,python  ,  html5  ,  javascript  ,  security  ,  django  ,  debugging,,,,,,,,,,,,,,,,,,,,,,
37,toolyt,Bengaluru / Bangalore,Python Developer,4 - 5,4,5,algorithms  ,  python  ,  machine learning  ,  django,,,,,,,,,,,,,,,,,,,,,,,,
38,ATCS,Navi Mumbai,Python Lead,5 - 8,5,8,python  ,  svn  ,  problem solving  ,  docker  ,  django  ,  git  ,  multithreading  ,  opencv,,,,,,,,,,,,,,,,,,,,
39,ATCS,Navi Mumbai,Python Developer,2 - 4,2,4,python  ,  svn  ,  problem solving  ,  docker  ,  django  ,  git  ,  multithreading  ,  opencv,,,,,,,,,,,,,,,,,,,,
40,"LARSEN & TOUBRO INFOTECH LIMITED
     (More Jobs)",(More Jobs),AWS Python,3 - 8,3,8,AWS  ,  S3  ,  Glue  ,  Python,,,,,,,,,,,,,,,,,,,,,,,,
41,InnOvator Web Solutions Pvt.Ltd.,Mumbai,Python Developer,5 - 8,5,8,rest  ,  python  ,  django  ,  web developer  ,  mysql  ,  api,,,,,,,,,,,,,,,,,,,,,,
42,Merkle Inc.,,Python Developer,3 - 6,3,6,algorithms  ,  python  ,  svn  ,  nosql  ,  oop  ,  git  ,  devops,,,,,,,,,,,,,,,,,,,,,
43,AxisTechnolabs,Ahmedabad,Python - Odoo,0 - 1,0,1,python  ,  django  ,  it skills  ,  html5  ,  api  ,  jquery,,,,,,,,,,,,,,,,,,,,,,
44,pearl global solutions,Cochin/ Kochi/ Ernakulam,Python Developer,4 - 7,4,7,python  ,  database  ,  django  ,  team player  ,  sql,,,,,,,,,,,,,,,,,,,,,,,
45,creative thoughts informatics indore,Indore,Python Developer,1 - 4,1,4,python  ,  django  ,  rest api  ,  html5  ,  javascript,,,,,,,,,,,,,,,,,,,,,,,
46,JobsLo Consultants,Bengaluru / Bangalore,Python Developer,2 - 4,2,4,application development  ,  Python2   ,  developing programs,,,,,,,,,,,,,,,,,,,,,,,,,
47,DealsCorner,Ahmedabad,Python Developer,1 - 4,1,4,python  ,  css  ,  oops  ,  linux  ,  debugging  ,  html  ,  javascript,,,,,,,,,,,,,,,,,,,,,
48,Splice Global Services Pvt Ltd,Gurgaon,Python Developer,2 - 5,2,5,python  ,  django  ,  git  ,  postgresql  ,  oops  ,  linux  ,  mysql,,,,,,,,,,,,,,,,,,,,,
49,APPLYCUP HIRING SOLUTIONS LLP,Ahmedabad,Python Developer,1 - 4,1,4,python  ,  security  ,  web developer  ,  storage  ,  mongodb,,,,,,,,,,,,,,,,,,,,,,,
50,destiny hr group services,Gurgaon,Python Developer,0 - 1,0,1,fundamentals  ,  python  ,  css  ,  javascript  ,  jquery  ,  database  ,  django  ,  java  ,  json  ,  html,,,,,,,,,,,,,,,,,,
51,CONNECTING 2 WORK,Thiruvananthapuram,Python Developer,0 - 3,0,3,security compliance  ,  python  ,  html5  ,  mobile  ,  javascript  ,  database  ,  django  ,  debugging,,,,,,,,,,,,,,,,,,,,
52,Green Gold Animation Pvt. Ltd.,Hyderabad/Secunderabad,Python Developer,0 - 3,0,3,python  ,  css  ,  javascript  ,  git  ,  debugging  ,  web development  ,  html,,,,,,,,,,,,,,,,,,,,,
54,QuEST Global Engineering Pvt Ltd,Bengaluru / Bangalore,Python Developer,3 - 6,3,6,sql  ,  pattern recognition  ,  python  ,  ms access  ,  machine learning  ,  entry level,,,,,,,,,,,,,,,,,,,,,,
55,grawlix software private limited pune,Pune,Python Developer,2 - 5,2,5,rest  ,  python  ,  django  ,  html5  ,  api  ,  javascript  ,  sql database  ,  nosql,,,,,,,,,,,,,,,,,,,,
56,KIWITECH,Noida/Greater Noida,Python Developer,3 - 6,3,6,algorithms  ,  python  ,  css  ,  javascript  ,  jquery  ,  web programming  ,  oop  ,  django  ,  zope  ,  linux  ,  web development  ,  html  ,  data structures,,,,,,,,,,,,,,,
57,Koch Global Business Services,Bengaluru / Bangalore,Python Developer,3 - 5,3,5,information technology  ,  software engineering  ,  python  ,  production support  ,  delivery manager,,,,,,,,,,,,,,,,,,,,,,,
58,ATCS,Navi Mumbai,Python / DJango,4 - 7,4,7,rest  ,  python  ,  django  ,  git  ,  multithreading  ,  svn  ,  problem solving  ,  sql,,,,,,,,,,,,,,,,,,,,
59,CANVERA TRADERS PRIVATE LIMITED,Bengaluru / Bangalore,Python Developer,5 - 8,5,8,python  ,  rdbms  ,  javascript  ,  sql  ,  spring  ,  spring boot  ,  django  ,  java,,,,,,,,,,,,,,,,,,,,
60,Infosys Technologies Ltd,,Python Developer,2 - 5,2,5,algorithms  ,  information technology  ,  technology analyst  ,  sql  ,  database  ,  data structures  ,  shell scripting  ,  object oriented programming  ,  global delivery  ,  python  ,  oracle  ,  rdbms  ,  unix,,,,,,,,,,,,,,,
61,Morgan Stanley Pvt Ltd,,Python Developer,5 - 12,5,1,fundamentals  ,  docker  ,  security  ,  devops  ,  linux  ,  python  ,  os  ,  neo4j  ,  infrastructure  ,  forms,,,,,,,,,,,,,,,,,,
62,QuEST Global Engineering Pvt Ltd,Bengaluru / Bangalore,Python Engineer,3 - 5,3,5,python  ,  css  ,  oracle  ,  problem solving  ,  sql  ,  django  ,  postgresql  ,  web development  ,  html  ,  mysql  ,  dash,,,,,,,,,,,,,,,,,
